X,Y,Z,__index,__rangexy,return_idx,num_returns,reflectance,elongation,Normal change rate (1),Number of neighbors (r=1),Surface density (r=1),Eigenentropy (1),Anisotropy (1),Planarity (1),Linearity (1),Surface variation (1),Sphericity (1),Verticality (1),3rd eigenvalue (1),Noise
2.59200001,-0.76400000,-0.79699999,2988.000000,2.702000,0.000000,1.000000,152.000000,10.000000,0.085167,1155.000000,367.647919,0.439137,0.848525,0.475612,0.372913,0.085167,0.151475,0.151319,0.013713,1.000000
2.79600000,-0.83600003,-0.85799998,2992.000000,2.919000,0.000000,1.000000,196.000000,12.000000,0.072381,2472.000000,786.862000,0.463972,0.900827,0.171800,0.729028,0.072381,0.099173,0.014469,0.014157,1.000000
3.32100010,-1.42799997,-0.78399998,3104.000000,3.615000,0.000000,1.000000,69.000000,9.000000,0.020823,6019.000000,1915.907104,0.594990,0.971804,0.297671,0.674134,0.020823,0.028196,0.047319,0.007318,1.000000
3.31500006,-1.98000002,-0.87099999,3240.000000,3.862000,0.000000,1.000000,127.000000,9.000000,0.014864,5259.000000,1673.991699,0.586400,0.979545,0.335215,0.644330,0.014864,0.020455,0.052495,0.005065,1.000000
2.19300008,-1.43799996,-0.70099998,3271.000000,2.622000,0.000000,1.000000,160.000000,11.000000,0.095131,78.000000,24.828171,0.725327,0.825848,0.482347,0.343501,0.095131,0.174152,0.083191,0.036944,1.000000
3.23699999,-2.71600008,-0.86100000,3413.000000,4.226000,0.000000,1.000000,192.000000,12.000000,0.015252,3938.000000,1253.504272,0.580075,0.979286,0.316757,0.662529,0.015252,0.020714,0.057267,0.005129,1.000000
2.78900003,-3.24900007,-0.94300002,3575.000000,4.282000,0.000000,1.000000,194.000000,13.000000,0.049790,1540.000000,490.197205,0.510701,0.934441,0.185590,0.748852,0.049790,0.065559,0.007134,0.012240,1.000000
2.70099998,-4.04899979,-0.85000002,3713.000000,4.867000,0.000000,1.000000,214.000000,14.000000,0.061654,946.000000,301.121155,0.500988,0.916845,0.182439,0.734406,0.061654,0.083155,0.001526,0.014120,1.000000
3.04800010,-4.73199987,-0.84200001,3742.000000,5.629000,0.000000,1.000000,220.000000,14.000000,0.043508,1631.000000,519.163391,0.559251,0.939782,0.263628,0.676154,0.043508,0.060218,0.050649,0.012348,1.000000
2.74900007,-4.30600023,-0.65200001,3755.000000,5.109000,0.000000,2.000000,127.000000,9.000000,0.100658,963.000000,306.532410,0.511742,0.851813,0.175807,0.676005,0.100658,0.148187,0.005466,0.021898,1.000000
1.97500002,2.38199997,-0.60799998,3944.000000,3.095000,0.000000,2.000000,10.000000,3.000000,0.140806,22.000000,7.002817,0.596343,0.742969,0.311370,0.431599,0.140806,0.257031,0.019971,0.035989,1.000000
2.72300005,2.84999990,-0.81800002,4017.000000,3.942000,0.000000,1.000000,53.000000,10.000000,0.046885,2812.000000,895.087402,0.503294,0.940547,0.149156,0.791390,0.046885,0.059453,0.030049,0.011712,1.000000
3.20600009,2.67700005,-1.02900004,4146.000000,4.177000,0.000000,1.000000,98.000000,8.000000,0.016108,4622.000000,1471.228271,0.572860,0.979685,0.220500,0.759186,0.016108,0.020315,0.046358,0.005829,1.000000
2.12899995,1.49500000,-0.67799997,4234.000000,2.602000,0.000000,1.000000,42.000000,5.000000,0.102147,63.000000,20.053522,0.748150,0.788468,0.647783,0.140686,0.102147,0.211532,0.105683,0.041074,1.000000
3.46300006,-0.01700000,-0.79100001,4884.000000,3.463000,0.000000,1.000000,144.000000,9.000000,0.017116,6857.000000,2182.650879,0.614212,0.976714,0.313890,0.662823,0.017116,0.023286,0.054474,0.006581,1.000000
3.23000002,-0.69400001,-0.80900002,5040.000000,3.304000,0.000000,1.000000,168.000000,11.000000,0.026280,5323.000000,1694.363525,0.566443,0.965216,0.254011,0.711205,0.026280,0.034784,0.042411,0.008314,1.000000
2.50399995,-0.84299999,-0.69300002,5150.000000,2.642000,0.000000,1.000000,10.000000,3.000000,0.085042,662.000000,210.721146,0.516502,0.835320,0.607095,0.228225,0.085042,0.164680,0.230061,0.017635,1.000000
3.25900006,-1.18200004,-0.74299997,5168.000000,3.466000,0.000000,1.000000,62.000000,10.000000,0.029353,5727.000000,1822.960693,0.580238,0.959975,0.283533,0.676442,0.029353,0.040025,0.039808,0.009410,1.000000
1.87100005,-0.74400002,-0.43300000,5201.000000,2.014000,0.000000,2.000000,9.000000,3.000000,0.070588,45.000000,14.323944,0.800173,0.884723,0.402535,0.482188,0.070588,0.115277,0.122694,0.039294,1.000000
1.80999994,-0.72700000,-0.41999999,5205.000000,1.950000,0.000000,2.000000,132.000000,9.000000,0.072727,37.000000,11.777466,0.774911,0.886668,0.331668,0.555000,0.072727,0.113332,0.169497,0.038060,1.000000
3.09500003,-1.98800004,-0.94999999,5388.000000,3.679000,0.000000,1.000000,111.000000,8.000000,0.019687,3993.000000,1271.011353,0.531420,0.974380,0.250110,0.724270,0.019687,0.025620,0.041000,0.005616,1.000000
2.70400000,-2.11700010,-0.69199997,5506.000000,3.434000,0.000000,1.000000,254.000000,15.000000,0.092097,1810.000000,576.140869,0.523604,0.856489,0.271235,0.585253,0.092097,0.143511,0.117686,0.020399,1.000000
2.32699990,-3.37199998,-0.60799998,5843.000000,4.097000,0.000000,2.000000,7.000000,2.000000,0.075228,142.000000,45.200001,0.652936,0.874430,0.418056,0.456373,0.075228,0.125570,0.415480,0.024902,1.000000
2.44400001,-3.59800005,-0.63800001,5851.000000,4.350000,0.000000,2.000000,109.000000,8.000000,0.068111,298.000000,94.856346,0.527488,0.859856,0.777310,0.082545,0.068111,0.140144,0.358866,0.014875,1.000000
2.34400010,2.10700011,-0.52899998,6210.000000,3.152000,0.000000,1.000000,152.000000,11.000000,0.153679,60.000000,19.098593,0.758054,0.715291,0.283203,0.432088,0.153679,0.284709,0.000497,0.061181,1.000000
3.40599990,2.72900009,-0.94800001,6288.000000,4.364000,0.000000,1.000000,202.000000,13.000000,0.015084,5610.000000,1785.718384,0.608708,0.980205,0.272779,0.707426,0.015084,0.019795,0.056402,0.006039,1.000000
3.42300010,2.68199992,-0.95099998,6300.000000,4.349000,0.000000,1.000000,198.000000,13.000000,0.014872,5544.000000,1764.709961,0.606375,0.980500,0.272217,0.708283,0.014872,0.019500,0.054682,0.005904,1.000000
2.85200000,2.01200008,-0.63599998,6342.000000,3.491000,0.000000,1.000000,254.000000,15.000000,0.092058,1433.000000,456.138062,0.548058,0.858224,0.256512,0.601713,0.092058,0.141776,0.147208,0.022210,1.000000
3.37100005,2.40100002,-1.01999998,6355.000000,4.139000,0.000000,1.000000,202.000000,13.000000,0.013556,4784.000000,1522.794434,0.584878,0.982490,0.256622,0.725868,0.013556,0.017510,0.043322,0.005025,1.000000
2.63599992,1.04299998,-0.58499998,6600.000000,2.835000,0.000000,1.000000,254.000000,15.000000,0.082194,650.000000,206.901413,0.542913,0.844272,0.583191,0.261081,0.082194,0.155728,0.219677,0.018644,1.000000
3.24399996,1.20200002,-0.94599998,6632.000000,3.460000,0.000000,1.000000,174.000000,12.000000,0.019742,4531.000000,1442.262085,0.542435,0.974788,0.226622,0.748167,0.019742,0.025212,0.033981,0.006036,1.000000
2.96000004,0.97799999,-0.65399998,6663.000000,3.117000,0.000000,1.000000,254.000000,15.000000,0.073150,2759.000000,878.216980,0.495675,0.894488,0.231395,0.663093,0.073150,0.105512,0.004931,0.015531,1.000000
3.49600005,0.80800003,-0.84600002,6766.000000,3.588000,0.000000,1.000000,180.000000,13.000000,0.013419,6505.000000,2070.605713,0.590747,0.981034,0.375452,0.605583,0.013419,0.018966,0.055665,0.004561,1.000000
2.68199992,0.42800000,-0.71300000,6841.000000,2.716000,0.000000,1.000000,154.000000,11.000000,0.064072,1301.000000,414.121155,0.475881,0.889690,0.501046,0.388643,0.064072,0.110310,0.129573,0.012051,1.000000
3.51699996,-0.04200000,-0.84399998,7017.000000,3.517000,0.000000,1.000000,113.000000,7.000000,0.012509,7109.000000,2262.864990,0.614474,0.983001,0.324910,0.658091,0.012509,0.016999,0.057156,0.004933,1.000000
3.08999991,-0.24699999,-0.88300002,7044.000000,3.100000,0.000000,1.000000,39.000000,4.000000,0.033834,4280.000000,1362.366333,0.539764,0.957462,0.172196,0.785266,0.033834,0.042538,0.021066,0.010109,1.000000
3.59599996,-0.29100001,-0.78299999,7047.000000,3.607000,0.000000,1.000000,142.000000,9.000000,0.013279,7559.000000,2406.104248,0.633578,0.981250,0.374455,0.606795,0.013279,0.018750,0.057503,0.005405,1.000000
3.50500011,-0.35299999,-0.84100002,7064.000000,3.523000,0.000000,1.000000,111.000000,8.000000,0.013617,6990.000000,2224.986084,0.613238,0.981358,0.331791,0.649567,0.013617,0.018642,0.054731,0.005256,1.000000
3.27099991,-0.79299998,-0.71300000,7207.000000,3.366000,0.000000,1.000000,25.000000,7.000000,0.028736,5580.000000,1776.169067,0.577979,0.960420,0.298227,0.662193,0.028736,0.039580,0.044454,0.009057,1.000000
3.42400002,-1.07000005,-0.82300001,7273.000000,3.587000,0.000000,1.000000,26.000000,6.000000,0.021133,6432.000000,2047.369141,0.601540,0.969565,0.379302,0.590263,0.021133,0.030435,0.049528,0.007167,1.000000
3.43000007,-1.51499999,-0.82800001,7382.000000,3.750000,0.000000,1.000000,128.000000,9.000000,0.013567,6521.000000,2075.698730,0.610982,0.981146,0.351957,0.629189,0.013567,0.018854,0.054855,0.005094,1.000000
3.27099991,-1.81500006,-0.79200000,7481.000000,3.741000,0.000000,1.000000,164.000000,10.000000,0.019007,5308.000000,1689.588867,0.584525,0.974175,0.307040,0.667136,0.019007,0.025825,0.048022,0.006417,1.000000
